"OUTLET","SEASON","CORRELATION","OUTLET_PRESS_SIZE","OUTLET_SOCIAL_SIZE","QUANTITY_OF_SEASONS","FINAL_INDEX","PROGRAM"
"yahoo","1",10,10,1,10,7.8,"BETTER CALL SAUL"
"huffingtonpost","1",10,9,1,10,7.5,"BETTER CALL SAUL"
"time","1",10,6,1,10,6.8,"BETTER CALL SAUL"
"tv","1",9,6,1,10,6.5,"BETTER CALL SAUL"
"cnn","1",7,8,1,8,6,"BETTER CALL SAUL"
"fox","1",7,7,1,9,6,"BETTER CALL SAUL"
"nbcnews","1",10,6,1,7,6,"BETTER CALL SAUL"
"nytimes","1",4,9,1,10,6,"BETTER CALL SAUL"
"people","1",8,5,1,10,6,"BETTER CALL SAUL"
"telegraph","1",10,5,1,8,6,"BETTER CALL SAUL"
"eonline","1",8,6,1,8,5.8,"BETTER CALL SAUL"
"examiner","1",9,6,1,7,5.8,"BETTER CALL SAUL"
"huffingtonpostlive","1",7,8,1,7,5.8,"BETTER CALL SAUL"
"siriusxm","1",5,8,1,9,5.8,"BETTER CALL SAUL"
"washingtonpost","1",7,5,1,10,5.8,"BETTER CALL SAUL"
"msn","1",4,9,1,8,5.5,"BETTER CALL SAUL"
"newsday","1",10,1,1,10,5.5,"BETTER CALL SAUL"
"parade","1",4,8,1,9,5.5,"BETTER CALL SAUL"
"xfinity","1",4,10,1,7,5.5,"BETTER CALL SAUL"
"digitaltrends","1",9,4,1,7,5.2,"BETTER CALL SAUL"
"forbes","1",4,8,1,8,5.2,"BETTER CALL SAUL"
"jimmykimmellive","1",10,3,1,7,5.2,"BETTER CALL SAUL"
"latimes","1",5,5,1,10,5.2,"BETTER CALL SAUL"
"sheknows","1",9,4,1,7,5.2,"BETTER CALL SAUL"
"wrap","1",7,3,1,10,5.2,"BETTER CALL SAUL"
"yahoo","2",10,10,1,10,7.8,"BETTER CALL SAUL"
"huffingtonpost","2",10,9,1,10,7.5,"BETTER CALL SAUL"
"time","2",10,6,1,10,6.8,"BETTER CALL SAUL"
"washingtonpost","2",7,8,1,10,6.5,"BETTER CALL SAUL"
"aptv","2",9,7,1,8,6.2,"BETTER CALL SAUL"
"telegraph","2",10,6,1,8,6.2,"BETTER CALL SAUL"
"tv","2",9,4,1,10,6,"BETTER CALL SAUL"
"eonline","2",8,6,1,8,5.8,"BETTER CALL SAUL"
"latimes","2",5,7,1,10,5.8,"BETTER CALL SAUL"
"forbes","2",4,9,1,8,5.5,"BETTER CALL SAUL"
"newsday","2",10,1,1,10,5.5,"BETTER CALL SAUL"
"nytimes","2",4,7,1,10,5.5,"BETTER CALL SAUL"
"people","2",8,3,1,10,5.5,"BETTER CALL SAUL"
"cheatsheet","2",8,4,1,8,5.2,"BETTER CALL SAUL"
"guardian","2",3,8,1,9,5.2,"BETTER CALL SAUL"
"parade","2",4,7,1,9,5.2,"BETTER CALL SAUL"
"usatoday","2",2,8,1,10,5.2,"BETTER CALL SAUL"
"variety","2",6,4,1,10,5.2,"BETTER CALL SAUL"
"verge","2",6,6,1,8,5.2,"BETTER CALL SAUL"
"wrap","2",7,3,1,10,5.2,"BETTER CALL SAUL"
"emmy","2",10,1,1,8,5,"BETTER CALL SAUL"
"extra","2",10,2,1,7,5,"BETTER CALL SAUL"
"hollywoodreporter","2",4,5,1,10,5,"BETTER CALL SAUL"
"ibtimes","2",5,5,1,9,5,"BETTER CALL SAUL"
"independent","2",5,6,1,8,5,"BETTER CALL SAUL"
"time","3",10,9,1,10,7.5,"BETTER CALL SAUL"
"huffingtonpost","3",10,8,1,10,7.2,"BETTER CALL SAUL"
"washingtonpost","3",7,9,1,10,6.8,"BETTER CALL SAUL"
"yahoo","3",10,6,1,10,6.8,"BETTER CALL SAUL"
"tv","3",9,6,1,10,6.5,"BETTER CALL SAUL"
"fox","3",7,8,1,9,6.2,"BETTER CALL SAUL"
"gamespot","3",8,8,1,8,6.2,"BETTER CALL SAUL"
"people","3",8,6,1,10,6.2,"BETTER CALL SAUL"
"cnn","3",7,8,1,8,6,"BETTER CALL SAUL"
"engadget","3",5,9,1,9,6,"BETTER CALL SAUL"
"latimes","3",5,8,1,10,6,"BETTER CALL SAUL"
"newsday","3",10,3,1,10,6,"BETTER CALL SAUL"
"cleveland","3",7,6,1,9,5.8,"BETTER CALL SAUL"
"mashable","3",5,8,1,9,5.8,"BETTER CALL SAUL"
"nytimes","3",4,8,1,10,5.8,"BETTER CALL SAUL"
"ign","3",2,9,1,10,5.5,"BETTER CALL SAUL"
"moviefone","3",7,5,1,9,5.5,"BETTER CALL SAUL"
"atlantic","3",4,8,1,8,5.2,"BETTER CALL SAUL"
"businessinsider","3",4,8,1,8,5.2,"BETTER CALL SAUL"
"hollywoodreporter","3",4,6,1,10,5.2,"BETTER CALL SAUL"
"rollingstone","3",2,8,1,10,5.2,"BETTER CALL SAUL"
"sfgate","3",4,8,1,8,5.2,"BETTER CALL SAUL"
"usatoday","3",2,8,1,10,5.2,"BETTER CALL SAUL"
"variety","3",6,4,1,10,5.2,"BETTER CALL SAUL"
"wrap","3",7,3,1,10,5.2,"BETTER CALL SAUL"
"mashable","4",5,8,10,9,8,"BETTER CALL SAUL"
"ign","4",2,9,9,10,7.5,"BETTER CALL SAUL"
"time","4",10,9,1,10,7.5,"BETTER CALL SAUL"
"huffingtonpost","4",10,8,1,10,7.2,"BETTER CALL SAUL"
"variety","4",6,5,8,10,7.2,"BETTER CALL SAUL"
"ew","4",2,7,9,10,7,"BETTER CALL SAUL"
"people","4",8,9,1,10,7,"BETTER CALL SAUL"
"rollingstone","4",2,7,9,10,7,"BETTER CALL SAUL"
"tvguide","4",3,8,7,10,7,"BETTER CALL SAUL"
"newsweek","4",7,5,8,7,6.8,"BETTER CALL SAUL"
"washingtonpost","4",7,9,1,10,6.8,"BETTER CALL SAUL"
"yahoo","4",10,6,1,10,6.8,"BETTER CALL SAUL"
"dailybeast","4",3,8,7,8,6.5,"BETTER CALL SAUL"
"digitalspy","4",4,9,4,9,6.5,"BETTER CALL SAUL"
"tv","4",9,6,1,10,6.5,"BETTER CALL SAUL"
"avclub","4",2,8,5,10,6.2,"BETTER CALL SAUL"
"fox","4",7,8,1,9,6.2,"BETTER CALL SAUL"
"gamespot","4",8,8,1,8,6.2,"BETTER CALL SAUL"
"gamesradar","4",9,7,1,8,6.2,"BETTER CALL SAUL"
"vogue","4",2,5,10,8,6.2,"BETTER CALL SAUL"
"wrap","4",7,3,5,10,6.2,"BETTER CALL SAUL"
"blastingnews","4",7,9,1,7,6,"BETTER CALL SAUL"
"gq","4",2,6,7,9,6,"BETTER CALL SAUL"
"latimes","4",5,8,1,10,6,"BETTER CALL SAUL"
"vox","4",3,6,6,9,6,"BETTER CALL SAUL"
"newsweek","1",9,8,9,10,9,"DIETLAND"
"ew","1",9,7,9,10,8.8,"DIETLAND"
"hollywoodreporter","1",8,7,8,10,8.2,"DIETLAND"
"variety","1",8,4,7,10,7.2,"DIETLAND"
"refinery29","1",2,6,10,10,7,"DIETLAND"
"cnn","1",9,7,1,10,6.8,"DIETLAND"
"eonline","1",9,7,1,10,6.8,"DIETLAND"
"huffingtonpost","1",9,7,1,10,6.8,"DIETLAND"
"cinemablend","1",8,7,1,10,6.5,"DIETLAND"
"dailybeast","1",3,7,6,10,6.5,"DIETLAND"
"dailymail","1",5,10,1,10,6.5,"DIETLAND"
"ign","1",7,8,1,10,6.5,"DIETLAND"
"time","1",7,8,1,10,6.5,"DIETLAND"
"tvline","1",5,6,5,10,6.5,"DIETLAND"
"cheatsheet","1",9,5,1,10,6.2,"DIETLAND"
"cleveland","1",9,5,1,10,6.2,"DIETLAND"
"digitalspy","1",6,8,1,10,6.2,"DIETLAND"
"moviefone","1",9,5,1,10,6.2,"DIETLAND"
"rollingstone","1",7,7,1,10,6.2,"DIETLAND"
"salon","1",7,7,1,10,6.2,"DIETLAND"
"washingtonpost","1",4,10,1,10,6.2,"DIETLAND"
"ajc","1",7,6,1,10,6,"DIETLAND"
"bostonherald","1",8,5,1,10,6,"DIETLAND"
"bustle","1",7,6,1,10,6,"DIETLAND"
"collider","1",7,3,4,10,6,"DIETLAND"
"yahoo","1",9,9,1,9,7,"FEAR THE WALKING DEAD"
"forbes","1",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"latimes","1",10,6,1,7,6,"FEAR THE WALKING DEAD"
"huffingtonpost","1",8,8,1,6,5.8,"FEAR THE WALKING DEAD"
"variety","1",9,4,1,9,5.8,"FEAR THE WALKING DEAD"
"cnn","1",8,7,1,6,5.5,"FEAR THE WALKING DEAD"
"ign","1",6,5,1,10,5.5,"FEAR THE WALKING DEAD"
"msn","1",7,8,1,6,5.5,"FEAR THE WALKING DEAD"
"uproxx","1",7,4,1,10,5.5,"FEAR THE WALKING DEAD"
"usatoday","1",7,5,1,9,5.5,"FEAR THE WALKING DEAD"
"aptv","1",9,6,1,5,5.2,"FEAR THE WALKING DEAD"
"imdb","1",4,8,1,8,5.2,"FEAR THE WALKING DEAD"
"io9","1",9,4,1,7,5.2,"FEAR THE WALKING DEAD"
"nypost","1",7,9,1,4,5.2,"FEAR THE WALKING DEAD"
"eonline","1",8,6,1,5,5,"FEAR THE WALKING DEAD"
"moviepilot","1",9,3,1,7,5,"FEAR THE WALKING DEAD"
"verge","1",8,5,1,6,5,"FEAR THE WALKING DEAD"
"washingtonpost","1",6,7,1,6,5,"FEAR THE WALKING DEAD"
"blastr","1",10,1,1,7,4.8,"FEAR THE WALKING DEAD"
"cleveland","1",9,2,1,7,4.8,"FEAR THE WALKING DEAD"
"dailymail","1",6,7,1,5,4.8,"FEAR THE WALKING DEAD"
"deadline","1",5,3,1,10,4.8,"FEAR THE WALKING DEAD"
"ew","1",4,4,1,10,4.8,"FEAR THE WALKING DEAD"
"hollywoodreporter","1",4,4,1,10,4.8,"FEAR THE WALKING DEAD"
"ibtimes","1",5,4,1,9,4.8,"FEAR THE WALKING DEAD"
"yahoo","2A",9,9,1,9,7,"FEAR THE WALKING DEAD"
"forbes","2A",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"usatoday","2A",7,7,1,9,6,"FEAR THE WALKING DEAD"
"cnn","2A",8,8,1,6,5.8,"FEAR THE WALKING DEAD"
"huffingtonpost","2A",8,8,1,6,5.8,"FEAR THE WALKING DEAD"
"variety","2A",9,4,1,9,5.8,"FEAR THE WALKING DEAD"
"aptv","2A",9,7,1,5,5.5,"FEAR THE WALKING DEAD"
"ign","2A",6,5,1,10,5.5,"FEAR THE WALKING DEAD"
"latimes","2A",10,4,1,7,5.5,"FEAR THE WALKING DEAD"
"uproxx","2A",7,4,1,10,5.5,"FEAR THE WALKING DEAD"
"huffingtonpostlive","2A",8,8,1,4,5.2,"FEAR THE WALKING DEAD"
"verge","2A",8,6,1,6,5.2,"FEAR THE WALKING DEAD"
"cleveland","2A",9,3,1,7,5,"FEAR THE WALKING DEAD"
"ew","2A",4,5,1,10,5,"FEAR THE WALKING DEAD"
"moviepilot","2A",9,3,1,7,5,"FEAR THE WALKING DEAD"
"nytimes","2A",4,8,1,7,5,"FEAR THE WALKING DEAD"
"blastr","2A",10,1,1,7,4.8,"FEAR THE WALKING DEAD"
"deadline","2A",5,3,1,10,4.8,"FEAR THE WALKING DEAD"
"eonline","2A",8,5,1,5,4.8,"FEAR THE WALKING DEAD"
"guardian","2A",5,7,1,6,4.8,"FEAR THE WALKING DEAD"
"hollywoodreporter","2A",4,4,1,10,4.8,"FEAR THE WALKING DEAD"
"ibtimes","2A",5,4,1,9,4.8,"FEAR THE WALKING DEAD"
"mashable","2A",3,6,1,9,4.8,"FEAR THE WALKING DEAD"
"rollingstone","2A",7,5,1,6,4.8,"FEAR THE WALKING DEAD"
"cinemablend","2A",3,4,1,10,4.5,"FEAR THE WALKING DEAD"
"yahoo","2B",9,9,1,9,7,"FEAR THE WALKING DEAD"
"forbes","2B",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"ign","2B",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"uproxx","2B",7,7,1,10,6.2,"FEAR THE WALKING DEAD"
"usatoday","2B",7,6,1,9,5.8,"FEAR THE WALKING DEAD"
"variety","2B",9,4,1,9,5.8,"FEAR THE WALKING DEAD"
"verge","2B",8,7,1,6,5.5,"FEAR THE WALKING DEAD"
"imdb","2B",4,8,1,8,5.2,"FEAR THE WALKING DEAD"
"nytimes","2B",4,9,1,7,5.2,"FEAR THE WALKING DEAD"
"rollingstone","2B",7,7,1,6,5.2,"FEAR THE WALKING DEAD"
"deadline","2B",5,4,1,10,5,"FEAR THE WALKING DEAD"
"digitaltrends","2B",9,6,1,4,5,"FEAR THE WALKING DEAD"
"ew","2B",4,5,1,10,5,"FEAR THE WALKING DEAD"
"io9","2B",9,3,1,7,5,"FEAR THE WALKING DEAD"
"mashable","2B",3,7,1,9,5,"FEAR THE WALKING DEAD"
"washingtonpost","2B",6,7,1,6,5,"FEAR THE WALKING DEAD"
"blastr","2B",10,1,1,7,4.8,"FEAR THE WALKING DEAD"
"comicbook","2B",3,5,1,10,4.8,"FEAR THE WALKING DEAD"
"hollywoodreporter","2B",4,4,1,10,4.8,"FEAR THE WALKING DEAD"
"moviefone","2B",8,4,1,6,4.8,"FEAR THE WALKING DEAD"
"nydailynews","2B",6,7,1,5,4.8,"FEAR THE WALKING DEAD"
"time","2B",7,6,1,5,4.8,"FEAR THE WALKING DEAD"
"cinemablend","2B",3,4,1,10,4.5,"FEAR THE WALKING DEAD"
"denofgeek","2B",3,4,1,10,4.5,"FEAR THE WALKING DEAD"
"inquistr","2B",10,2,1,5,4.5,"FEAR THE WALKING DEAD"
"ign","3A",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"forbes","3A",6,7,1,10,6,"FEAR THE WALKING DEAD"
"usatoday","3A",7,7,1,9,6,"FEAR THE WALKING DEAD"
"variety","3A",9,5,1,9,6,"FEAR THE WALKING DEAD"
"yahoo","3A",9,5,1,9,6,"FEAR THE WALKING DEAD"
"io9","3A",9,6,1,7,5.8,"FEAR THE WALKING DEAD"
"uproxx","3A",7,5,1,10,5.8,"FEAR THE WALKING DEAD"
"ew","3A",4,7,1,10,5.5,"FEAR THE WALKING DEAD"
"hollywoodreporter","3A",4,7,1,10,5.5,"FEAR THE WALKING DEAD"
"moviepilot","3A",9,5,1,7,5.5,"FEAR THE WALKING DEAD"
"thr","3A",10,7,1,4,5.5,"FEAR THE WALKING DEAD"
"ajc","3A",5,6,1,9,5.2,"FEAR THE WALKING DEAD"
"cinemablend","3A",3,7,1,10,5.2,"FEAR THE WALKING DEAD"
"mashable","3A",3,8,1,9,5.2,"FEAR THE WALKING DEAD"
"tvguide","3A",3,7,1,10,5.2,"FEAR THE WALKING DEAD"
"usweekly","3A",7,7,1,6,5.2,"FEAR THE WALKING DEAD"
"blastr","3A",10,2,1,7,5,"FEAR THE WALKING DEAD"
"digitalspy","3A",4,6,1,9,5,"FEAR THE WALKING DEAD"
"joblo","3A",10,2,1,7,5,"FEAR THE WALKING DEAD"
"popsugar","3A",7,7,1,5,5,"FEAR THE WALKING DEAD"
"rottentomatoes","3A",6,7,1,6,5,"FEAR THE WALKING DEAD"
"tv","3A",6,7,1,6,5,"FEAR THE WALKING DEAD"
"bustle","3A",4,6,1,8,4.8,"FEAR THE WALKING DEAD"
"comicbook","3A",3,5,1,10,4.8,"FEAR THE WALKING DEAD"
"deadline","3A",5,3,1,10,4.8,"FEAR THE WALKING DEAD"
"ign","3B",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"latimes","3B",10,7,1,7,6.2,"FEAR THE WALKING DEAD"
"usatoday","3B",7,8,1,9,6.2,"FEAR THE WALKING DEAD"
"forbes","3B",6,7,1,10,6,"FEAR THE WALKING DEAD"
"gizmodo","3B",10,8,1,5,6,"FEAR THE WALKING DEAD"
"yahoo","3B",9,5,1,9,6,"FEAR THE WALKING DEAD"
"uproxx","3B",7,5,1,10,5.8,"FEAR THE WALKING DEAD"
"deadline","3B",5,6,1,10,5.5,"FEAR THE WALKING DEAD"
"ew","3B",4,7,1,10,5.5,"FEAR THE WALKING DEAD"
"fandom","3B",9,7,1,5,5.5,"FEAR THE WALKING DEAD"
"gamespot","3B",9,7,1,5,5.5,"FEAR THE WALKING DEAD"
"hollywoodreporter","3B",4,7,1,10,5.5,"FEAR THE WALKING DEAD"
"huffingtonpost","3B",8,7,1,6,5.5,"FEAR THE WALKING DEAD"
"moviepilot","3B",9,5,1,7,5.5,"FEAR THE WALKING DEAD"
"cinemablend","3B",3,7,1,10,5.2,"FEAR THE WALKING DEAD"
"ibtimes","3B",5,6,1,9,5.2,"FEAR THE WALKING DEAD"
"mashable","3B",3,8,1,9,5.2,"FEAR THE WALKING DEAD"
"tvguide","3B",3,7,1,10,5.2,"FEAR THE WALKING DEAD"
"joblo","3B",10,2,1,7,5,"FEAR THE WALKING DEAD"
"newyorktimes","3B",4,7,1,8,5,"FEAR THE WALKING DEAD"
"rottentomatoes","3B",6,7,1,6,5,"FEAR THE WALKING DEAD"
"vulture","3B",7,5,1,7,5,"FEAR THE WALKING DEAD"
"comicbook","3B",3,5,1,10,4.8,"FEAR THE WALKING DEAD"
"io9","3B",9,2,1,7,4.8,"FEAR THE WALKING DEAD"
"losangelestimes","3B",5,7,1,6,4.8,"FEAR THE WALKING DEAD"
"forbes","4A",6,7,10,10,8.2,"FEAR THE WALKING DEAD"
"gizmodo","4A",10,8,8,5,7.8,"FEAR THE WALKING DEAD"
"imdb","4A",4,10,9,8,7.8,"FEAR THE WALKING DEAD"
"ew","4A",4,7,9,10,7.5,"FEAR THE WALKING DEAD"
"variety","4A",9,4,8,9,7.5,"FEAR THE WALKING DEAD"
"yahoo","4A",9,5,7,9,7.5,"FEAR THE WALKING DEAD"
"hollywoodreporter","4A",4,7,8,10,7.2,"FEAR THE WALKING DEAD"
"deadline","4A",5,6,7,10,7,"FEAR THE WALKING DEAD"
"tvguide","4A",3,7,7,10,6.8,"FEAR THE WALKING DEAD"
"digitalspy","4A",4,8,5,9,6.5,"FEAR THE WALKING DEAD"
"uproxx","4A",7,5,4,10,6.5,"FEAR THE WALKING DEAD"
"ign","4A",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"losangelestimes","4A",5,6,8,6,6.2,"FEAR THE WALKING DEAD"
"usatoday","4A",7,8,1,9,6.2,"FEAR THE WALKING DEAD"
"tvline","4A",2,6,5,10,5.8,"FEAR THE WALKING DEAD"
"cleveland","4A",9,5,1,7,5.5,"FEAR THE WALKING DEAD"
"cnn","4A",8,7,1,6,5.5,"FEAR THE WALKING DEAD"
"comicbook","4A",3,4,5,10,5.5,"FEAR THE WALKING DEAD"
"denofgeek","4A",3,4,5,10,5.5,"FEAR THE WALKING DEAD"
"gamespot","4A",9,7,1,5,5.5,"FEAR THE WALKING DEAD"
"ajc","4A",5,6,1,9,5.2,"FEAR THE WALKING DEAD"
"blastingnews","4A",8,8,1,4,5.2,"FEAR THE WALKING DEAD"
"cinemablend","4A",3,7,1,10,5.2,"FEAR THE WALKING DEAD"
"fandom","4A",9,6,1,5,5.2,"FEAR THE WALKING DEAD"
"ibtimes","4A",5,6,1,9,5.2,"FEAR THE WALKING DEAD"
"ew","4B",4,7,9,10,7.5,"FEAR THE WALKING DEAD"
"hollywoodreporter","4B",4,7,8,10,7.2,"FEAR THE WALKING DEAD"
"tvguide","4B",3,7,7,10,6.8,"FEAR THE WALKING DEAD"
"uproxx","4B",7,5,4,10,6.5,"FEAR THE WALKING DEAD"
"ign","4B",6,8,1,10,6.2,"FEAR THE WALKING DEAD"
"latimes","4B",10,7,1,7,6.2,"FEAR THE WALKING DEAD"
"vanityfair","4B",3,6,9,7,6.2,"FEAR THE WALKING DEAD"
"forbes","4B",6,7,1,10,6,"FEAR THE WALKING DEAD"
"comicbook","4B",3,4,5,10,5.5,"FEAR THE WALKING DEAD"
"deadline","4B",5,6,1,10,5.5,"FEAR THE WALKING DEAD"
"digitalspy","4B",4,8,1,9,5.5,"FEAR THE WALKING DEAD"
"imdb","4B",4,9,1,8,5.5,"FEAR THE WALKING DEAD"
"variety","4B",9,3,1,9,5.5,"FEAR THE WALKING DEAD"
"ajc","4B",5,6,1,9,5.2,"FEAR THE WALKING DEAD"
"cinemablend","4B",3,7,1,10,5.2,"FEAR THE WALKING DEAD"
"inquistr","4B",10,5,1,5,5.2,"FEAR THE WALKING DEAD"
"washingtonpost","4B",6,8,1,6,5.2,"FEAR THE WALKING DEAD"
"joblo","4B",10,2,1,7,5,"FEAR THE WALKING DEAD"
"bustle","4B",4,6,1,8,4.8,"FEAR THE WALKING DEAD"
"tvline","4B",2,6,1,10,4.8,"FEAR THE WALKING DEAD"
"wrap","4B",2,3,6,8,4.8,"FEAR THE WALKING DEAD"
"denofgeek","4B",3,4,1,10,4.5,"FEAR THE WALKING DEAD"
"nerdist","4B",4,4,1,9,4.5,"FEAR THE WALKING DEAD"
"nytimes","4B",4,6,1,7,4.5,"FEAR THE WALKING DEAD"
"tvbynumbers","4B",7,6,1,4,4.5,"FEAR THE WALKING DEAD"
"yahoo","1",9,10,1,10,7.5,"GEEKING OUT"
"uproxx","1",9,8,1,10,7,"GEEKING OUT"
"comicbook","1",9,7,1,10,6.8,"GEEKING OUT"
"variety","1",9,6,1,10,6.5,"GEEKING OUT"
"fansided","1",8,5,1,10,6,"GEEKING OUT"
"washingtonpost","1",4,9,1,10,6,"GEEKING OUT"
"comingsoon","1",8,4,1,10,5.8,"GEEKING OUT"
"deadline","1",6,6,1,10,5.8,"GEEKING OUT"
"avclub","1",4,7,1,10,5.5,"GEEKING OUT"
"comicbookresources","1",6,5,1,10,5.5,"GEEKING OUT"
