"OUTLET","SEASON","CORRELATION","OUTLET_PRESS_SIZE","OUTLET_SOCIAL_SIZE","QUANTITY_OF_SEASONS","FINAL_INDEX","PROGRAM"
"tvfanatic","4",8,2,1,8,4.8,"TURN"
"tvjunkies","4",10,1,1,7,4.8,"TURN"
"arkansasdemocratgazette","4",7,2,1,8,4.5,"TURN"
"cleveland","4",9,1,1,7,4.5,"TURN"
"ew","1",9,8,10,10,9.2,"VISIONARIES: HISTORY OF HORROR"
"ign","1",7,10,10,10,9.2,"VISIONARIES: HISTORY OF HORROR"
"gizmodo","1",10,10,1,10,7.8,"VISIONARIES: HISTORY OF HORROR"
"gamespot","1",9,9,1,10,7.2,"VISIONARIES: HISTORY OF HORROR"
"cleveland","1",9,7,1,10,6.8,"VISIONARIES: HISTORY OF HORROR"
"newsweek","1",9,6,1,10,6.5,"VISIONARIES: HISTORY OF HORROR"
"people","1",5,10,1,10,6.5,"VISIONARIES: HISTORY OF HORROR"
"washingtonpost","1",5,10,1,10,6.5,"VISIONARIES: HISTORY OF HORROR"
"avclub","1",5,9,1,10,6.2,"VISIONARIES: HISTORY OF HORROR"
"latimes","1",5,9,1,10,6.2,"VISIONARIES: HISTORY OF HORROR"
"screenrant","1",7,7,1,10,6.2,"VISIONARIES: HISTORY OF HORROR"
"yahoo","1",8,6,1,10,6.2,"VISIONARIES: HISTORY OF HORROR"
"comicbook","1",8,5,1,10,6,"VISIONARIES: HISTORY OF HORROR"
"deadline","1",6,7,1,10,6,"VISIONARIES: HISTORY OF HORROR"
"inquisitr","1",7,6,1,10,6,"VISIONARIES: HISTORY OF HORROR"
"darkhorizons","1",10,2,1,10,5.8,"VISIONARIES: HISTORY OF HORROR"
"syfywire","1",9,3,1,10,5.8,"VISIONARIES: HISTORY OF HORROR"
"indiewire","1",5,6,1,10,5.5,"VISIONARIES: HISTORY OF HORROR"
"refinery29","1",3,8,1,10,5.5,"VISIONARIES: HISTORY OF HORROR"
"collider","1",7,3,1,10,5.2,"VISIONARIES: HISTORY OF HORROR"
"comingsoon","1",7,3,1,10,5.2,"VISIONARIES: HISTORY OF HORROR"
"denofgeek","1",5,5,1,10,5.2,"VISIONARIES: HISTORY OF HORROR"
"movieweb","1",4,6,1,10,5.2,"VISIONARIES: HISTORY OF HORROR"
"slashfilm","1",4,6,1,10,5.2,"VISIONARIES: HISTORY OF HORROR"
"channelguidemagazine","1",8,1,1,10,5,"VISIONARIES: HISTORY OF HORROR"
"gamespot","1",9,7,9,10,8.8,"VISIONARIES: HISTORY OF SCI-FI"
"people","1",3,9,10,10,8,"VISIONARIES: HISTORY OF SCI-FI"
"hollywoodreporter","1",5,7,8,10,7.5,"VISIONARIES: HISTORY OF SCI-FI"
"salon","1",4,7,7,10,7,"VISIONARIES: HISTORY OF SCI-FI"
"ew","1",8,7,1,10,6.5,"VISIONARIES: HISTORY OF SCI-FI"
"losangelestimes","1",2,6,8,10,6.5,"VISIONARIES: HISTORY OF SCI-FI"
"avclub","1",3,7,5,10,6.2,"VISIONARIES: HISTORY OF SCI-FI"
"cleveland","1",8,6,1,10,6.2,"VISIONARIES: HISTORY OF SCI-FI"
"indiewire","1",3,6,6,10,6.2,"VISIONARIES: HISTORY OF SCI-FI"
"moviefone","1",8,6,1,10,6.2,"VISIONARIES: HISTORY OF SCI-FI"
"newsweek","1",8,6,1,10,6.2,"VISIONARIES: HISTORY OF SCI-FI"
"cinemablend","1",6,7,1,10,6,"VISIONARIES: HISTORY OF SCI-FI"
"imdb","1",3,10,1,10,6,"VISIONARIES: HISTORY OF SCI-FI"
"mashable","1",5,8,1,10,6,"VISIONARIES: HISTORY OF SCI-FI"
"syfywire","1",9,4,1,10,6,"VISIONARIES: HISTORY OF SCI-FI"
"vanityfair","1",7,6,1,10,6,"VISIONARIES: HISTORY OF SCI-FI"
"uproxx","1",6,6,1,10,5.8,"VISIONARIES: HISTORY OF SCI-FI"
"wrap","1",6,4,3,10,5.8,"VISIONARIES: HISTORY OF SCI-FI"
"yahoo","1",6,6,1,10,5.8,"VISIONARIES: HISTORY OF SCI-FI"
"brinkwire","1",10,1,1,10,5.5,"VISIONARIES: HISTORY OF SCI-FI"
"forbes","1",3,8,1,10,5.5,"VISIONARIES: HISTORY OF SCI-FI"
"io9","1",3,8,1,10,5.5,"VISIONARIES: HISTORY OF SCI-FI"
"newyorktimes","1",4,7,1,10,5.5,"VISIONARIES: HISTORY OF SCI-FI"
"programminginsider","1",10,1,1,10,5.5,"VISIONARIES: HISTORY OF SCI-FI"
"syfy","1",4,4,4,10,5.5,"VISIONARIES: HISTORY OF SCI-FI"
"yahoo","4A",9,10,1,10,7.5,"WALKING DEAD"
"huffingtonpost","4A",9,8,1,8,6.5,"WALKING DEAD"
"forbes","4A",4,6,1,10,5.2,"WALKING DEAD"
"examiner","4A",8,5,1,5,4.8,"WALKING DEAD"
"nytimes","4A",7,6,1,5,4.8,"WALKING DEAD"
"screencrush","4A",9,1,1,8,4.8,"WALKING DEAD"
"wrap","4A",5,4,1,9,4.8,"WALKING DEAD"
"ew","4A",5,2,1,10,4.5,"WALKING DEAD"
"inquisitr","4A",5,2,1,10,4.5,"WALKING DEAD"
"nbcnews","4A",10,6,1,1,4.5,"WALKING DEAD"
"rollingstone","4A",5,2,1,10,4.5,"WALKING DEAD"
"wsj","4A",7,4,1,6,4.5,"WALKING DEAD"
"dailydead","4A",10,1,1,5,4.2,"WALKING DEAD"
"geeksofdoom","4A",10,1,1,5,4.2,"WALKING DEAD"
"ign","4A",3,3,1,10,4.2,"WALKING DEAD"
"variety","4A",5,1,1,10,4.2,"WALKING DEAD"
"verge","4A",5,6,1,5,4.2,"WALKING DEAD"
"comicbook","4A",4,1,1,10,4,"WALKING DEAD"
"hngn","4A",10,1,1,4,4,"WALKING DEAD"
"hollywoodlife","4A",4,2,1,9,4,"WALKING DEAD"
"hollywoodreporter","4A",3,2,1,10,4,"WALKING DEAD"
"hypable","4A",6,1,1,8,4,"WALKING DEAD"
"parade","4A",7,6,1,2,4,"WALKING DEAD"
"today","4A",6,7,1,2,4,"WALKING DEAD"
"tvfanatic","4A",6,1,1,8,4,"WALKING DEAD"
"yahoo","4B",9,10,1,10,7.5,"WALKING DEAD"
"huffingtonpost","4B",9,8,1,8,6.5,"WALKING DEAD"
"conan","4B",9,9,1,2,5.2,"WALKING DEAD"
"forbes","4B",4,6,1,10,5.2,"WALKING DEAD"
"ew","4B",5,3,1,10,4.8,"WALKING DEAD"
"examiner","4B",8,5,1,5,4.8,"WALKING DEAD"
"wrap","4B",5,4,1,9,4.8,"WALKING DEAD"
"inquisitr","4B",5,2,1,10,4.5,"WALKING DEAD"
"nbcnews","4B",10,6,1,1,4.5,"WALKING DEAD"
"rollingstone","4B",5,2,1,10,4.5,"WALKING DEAD"
"wsj","4B",7,4,1,6,4.5,"WALKING DEAD"
"atlantajournalstitution","4B",9,2,1,5,4.2,"WALKING DEAD"
"complex","4B",7,2,1,7,4.2,"WALKING DEAD"
"ign","4B",3,3,1,10,4.2,"WALKING DEAD"
"variety","4B",5,1,1,10,4.2,"WALKING DEAD"
"comicbook","4B",4,1,1,10,4,"WALKING DEAD"
"hngn","4B",10,1,1,4,4,"WALKING DEAD"
"hollywoodlife","4B",4,2,1,9,4,"WALKING DEAD"
"hypable","4B",6,1,1,8,4,"WALKING DEAD"
"tvfanatic","4B",6,1,1,8,4,"WALKING DEAD"
"tvguide","4B",2,3,1,10,4,"WALKING DEAD"
"uproxx","4B",3,2,1,10,4,"WALKING DEAD"
"denofgeek","4B",4,1,1,9,3.8,"WALKING DEAD"
"engadget","4B",7,1,1,6,3.8,"WALKING DEAD"
"hollywoodreporter","4B",3,1,1,10,3.8,"WALKING DEAD"
"yahoo","5A",9,10,1,10,7.5,"WALKING DEAD"
"huffingtonpost","5A",9,8,1,8,6.5,"WALKING DEAD"
"forbes","5A",4,7,1,10,5.5,"WALKING DEAD"
"eonline","5A",9,6,1,5,5.2,"WALKING DEAD"
"inquisitr","5A",5,5,1,10,5.2,"WALKING DEAD"
"ew","5A",5,4,1,10,5,"WALKING DEAD"
"moviefone","5A",9,3,1,6,4.8,"WALKING DEAD"
"rollingstone","5A",5,3,1,10,4.8,"WALKING DEAD"
"screencrush","5A",9,1,1,8,4.8,"WALKING DEAD"
"variety","5A",5,3,1,10,4.8,"WALKING DEAD"
"wsj","5A",7,5,1,6,4.8,"WALKING DEAD"
"comicbook","5A",4,3,1,10,4.5,"WALKING DEAD"
"complex","5A",7,3,1,7,4.5,"WALKING DEAD"
"dailydead","5A",10,2,1,5,4.5,"WALKING DEAD"
"examiner","5A",8,4,1,5,4.5,"WALKING DEAD"
"nydailynews","5A",9,3,1,5,4.5,"WALKING DEAD"
"people","5A",9,4,1,4,4.5,"WALKING DEAD"
"aptv","5A",10,5,1,1,4.2,"WALKING DEAD"
"hollywoodlife","5A",4,3,1,9,4.2,"WALKING DEAD"
"hollywoodreporter","5A",3,3,1,10,4.2,"WALKING DEAD"
"ibtimes","5A",8,3,1,5,4.2,"WALKING DEAD"
"uproxx","5A",3,3,1,10,4.2,"WALKING DEAD"
"vanityfair","5A",7,2,1,7,4.2,"WALKING DEAD"
"verge","5A",5,6,1,5,4.2,"WALKING DEAD"
"washingtonpost","5A",3,5,1,8,4.2,"WALKING DEAD"
"yahoo","5B",9,10,1,10,7.5,"WALKING DEAD"
"huffingtonpost","5B",9,8,1,8,6.5,"WALKING DEAD"
"moviefone","5B",9,7,1,6,5.8,"WALKING DEAD"
"forbes","5B",4,7,1,10,5.5,"WALKING DEAD"
"eonline","5B",9,6,1,5,5.2,"WALKING DEAD"
"inquisitr","5B",5,5,1,10,5.2,"WALKING DEAD"
"ew","5B",5,4,1,10,5,"WALKING DEAD"
"wsj","5B",7,6,1,6,5,"WALKING DEAD"
"examiner","5B",8,5,1,5,4.8,"WALKING DEAD"
"ibtimes","5B",8,5,1,5,4.8,"WALKING DEAD"
"people","5B",9,5,1,4,4.8,"WALKING DEAD"
"rollingstone","5B",5,3,1,10,4.8,"WALKING DEAD"
"screencrush","5B",9,1,1,8,4.8,"WALKING DEAD"
"variety","5B",5,3,1,10,4.8,"WALKING DEAD"
"comicbook","5B",4,3,1,10,4.5,"WALKING DEAD"
"complex","5B",7,3,1,7,4.5,"WALKING DEAD"
"ign","5B",3,4,1,10,4.5,"WALKING DEAD"
"nytimes","5B",7,5,1,5,4.5,"WALKING DEAD"
"cleveland","5B",5,3,1,8,4.2,"WALKING DEAD"
"dailydead","5B",10,1,1,5,4.2,"WALKING DEAD"
"engadget","5B",7,3,1,6,4.2,"WALKING DEAD"
"geeksofdoom","5B",10,1,1,5,4.2,"WALKING DEAD"
"hollywoodlife","5B",4,3,1,9,4.2,"WALKING DEAD"
"hollywoodreporter","5B",3,3,1,10,4.2,"WALKING DEAD"
"nydailynews","5B",9,2,1,5,4.2,"WALKING DEAD"
"yahoo","6A",9,9,1,10,7.2,"WALKING DEAD"
"huffingtonpost","6A",9,8,1,8,6.5,"WALKING DEAD"
"forbes","6A",4,8,1,10,5.8,"WALKING DEAD"
"inquisitr","6A",5,4,1,10,5,"WALKING DEAD"
"rollingstone","6A",5,4,1,10,5,"WALKING DEAD"
"screencrush","6A",9,2,1,8,5,"WALKING DEAD"
"wsj","6A",7,6,1,6,5,"WALKING DEAD"
"complex","6A",7,4,1,7,4.8,"WALKING DEAD"
"eonline","6A",9,4,1,5,4.8,"WALKING DEAD"
"ew","6A",5,3,1,10,4.8,"WALKING DEAD"
"ign","6A",3,5,1,10,4.8,"WALKING DEAD"
"people","6A",9,5,1,4,4.8,"WALKING DEAD"
"vanityfair","6A",7,4,1,7,4.8,"WALKING DEAD"
"variety","6A",5,3,1,10,4.8,"WALKING DEAD"
"moviefone","6A",9,2,1,6,4.5,"WALKING DEAD"
"nytimes","6A",7,5,1,5,4.5,"WALKING DEAD"
"uproxx","6A",3,4,1,10,4.5,"WALKING DEAD"
"comicbook","6A",4,2,1,10,4.2,"WALKING DEAD"
"examiner","6A",8,3,1,5,4.2,"WALKING DEAD"
"hollywoodlife","6A",4,3,1,9,4.2,"WALKING DEAD"
"hollywoodreporter","6A",3,3,1,10,4.2,"WALKING DEAD"
"msn","6A",6,8,1,2,4.2,"WALKING DEAD"
"nypost","6A",9,3,1,4,4.2,"WALKING DEAD"
"wrap","6A",5,2,1,9,4.2,"WALKING DEAD"
"zap2it","6A",10,2,1,4,4.2,"WALKING DEAD"
"yahoo","6B",9,9,1,10,7.2,"WALKING DEAD"
"huffingtonpost","6B",9,8,1,8,6.5,"WALKING DEAD"
"forbes","6B",4,8,1,10,5.8,"WALKING DEAD"
"rollingstone","6B",5,5,1,10,5.2,"WALKING DEAD"
"eonline","6B",9,5,1,5,5,"WALKING DEAD"
"ew","6B",5,4,1,10,5,"WALKING DEAD"
"inquisitr","6B",5,4,1,10,5,"WALKING DEAD"
"nydailynews","6B",9,5,1,5,5,"WALKING DEAD"
"complex","6B",7,4,1,7,4.8,"WALKING DEAD"
"ign","6B",3,5,1,10,4.8,"WALKING DEAD"
"nypost","6B",9,5,1,4,4.8,"WALKING DEAD"
"screencrush","6B",9,1,1,8,4.8,"WALKING DEAD"
"variety","6B",5,3,1,10,4.8,"WALKING DEAD"
"wsj","6B",7,5,1,6,4.8,"WALKING DEAD"
"hollywoodlife","6B",4,4,1,9,4.5,"WALKING DEAD"
"hollywoodreporter","6B",3,4,1,10,4.5,"WALKING DEAD"
"ibtimes","6B",8,4,1,5,4.5,"WALKING DEAD"
"moviefone","6B",9,2,1,6,4.5,"WALKING DEAD"
"usatoday","6B",2,6,1,9,4.5,"WALKING DEAD"
"vanityfair","6B",7,3,1,7,4.5,"WALKING DEAD"
"aptv","6B",10,5,1,1,4.2,"WALKING DEAD"
"chicagotribune","6B",7,4,1,5,4.2,"WALKING DEAD"
"comicbook","6B",4,2,1,10,4.2,"WALKING DEAD"
"examiner","6B",8,3,1,5,4.2,"WALKING DEAD"
"geeksofdoom","6B",10,1,1,5,4.2,"WALKING DEAD"
"yahoo","7A",9,9,1,10,7.2,"WALKING DEAD"
"huffingtonpost","7A",9,7,1,8,6.2,"WALKING DEAD"
"eonline","7A",9,8,1,5,5.8,"WALKING DEAD"
"complex","7A",7,7,1,7,5.5,"WALKING DEAD"
"engadget","7A",7,8,1,6,5.5,"WALKING DEAD"
"ew","7A",5,6,1,10,5.5,"WALKING DEAD"
"forbes","7A",4,7,1,10,5.5,"WALKING DEAD"
"ign","7A",3,8,1,10,5.5,"WALKING DEAD"
"nytimes","7A",7,9,1,5,5.5,"WALKING DEAD"
"rollingstone","7A",5,6,1,10,5.5,"WALKING DEAD"
"wsj","7A",7,8,1,6,5.5,"WALKING DEAD"
"bustle","7A",6,8,1,5,5,"WALKING DEAD"
"comicbook","7A",4,5,1,10,5,"WALKING DEAD"
"uproxx","7A",3,6,1,10,5,"WALKING DEAD"
"vanityfair","7A",7,5,1,7,5,"WALKING DEAD"
"hollywoodreporter","7A",3,5,1,10,4.8,"WALKING DEAD"
"screencrush","7A",9,1,1,8,4.8,"WALKING DEAD"
"variety","7A",5,3,1,10,4.8,"WALKING DEAD"
"avclub","7A",3,7,1,7,4.5,"WALKING DEAD"
"cleveland","7A",5,4,1,8,4.5,"WALKING DEAD"
"inquisitr","7A",5,2,1,10,4.5,"WALKING DEAD"
"io9","7A",7,5,1,5,4.5,"WALKING DEAD"
"perezhilton","7A",9,6,1,2,4.5,"WALKING DEAD"
"usatoday","7A",2,6,1,9,4.5,"WALKING DEAD"
"wrap","7A",5,3,1,9,4.5,"WALKING DEAD"
"huffingtonpost","7B",9,7,1,8,6.2,"WALKING DEAD"
"yahoo","7B",9,5,1,10,6.2,"WALKING DEAD"
"eonline","7B",9,8,1,5,5.8,"WALKING DEAD"
"rollingstone","7B",5,7,1,10,5.8,"WALKING DEAD"
"engadget","7B",7,8,1,6,5.5,"WALKING DEAD"
"ew","7B",5,6,1,10,5.5,"WALKING DEAD"
"forbes","7B",4,7,1,10,5.5,"WALKING DEAD"
"ign","7B",3,8,1,10,5.5,"WALKING DEAD"
"nydailynews","7B",9,7,1,5,5.5,"WALKING DEAD"
"complex","7B",7,6,1,7,5.2,"WALKING DEAD"
"hollywoodreporter","7B",3,7,1,10,5.2,"WALKING DEAD"
"comicbook","7B",4,5,1,10,5,"WALKING DEAD"
"inquisitr","7B",5,4,1,10,5,"WALKING DEAD"
"moviefone","7B",9,4,1,6,5,"WALKING DEAD"
"screencrush","7B",9,2,1,8,5,"WALKING DEAD"
"tvguide","7B",2,7,1,10,5,"WALKING DEAD"
"usatoday","7B",2,8,1,9,5,"WALKING DEAD"
"vanityfair","7B",7,5,1,7,5,"WALKING DEAD"
"uproxx","7B",3,5,1,10,4.8,"WALKING DEAD"
"variety","7B",5,3,1,10,4.8,"WALKING DEAD"
"comicbookresources","7B",7,4,1,6,4.5,"WALKING DEAD"
"digitalspy","7B",2,5,1,10,4.5,"WALKING DEAD"
"mashable","7B",2,8,1,7,4.5,"WALKING DEAD"
"sheknows","7B",10,5,1,2,4.5,"WALKING DEAD"
"tvline","7B",3,5,1,9,4.5,"WALKING DEAD"
"yahoo","8A",9,4,1,10,6,"WALKING DEAD"
"ew","8A",5,7,1,10,5.8,"WALKING DEAD"
"rollingstone","8A",5,7,1,10,5.8,"WALKING DEAD"
"forbes","8A",4,7,1,10,5.5,"WALKING DEAD"
"ign","8A",3,8,1,10,5.5,"WALKING DEAD"
"wrap","8A",5,7,1,9,5.5,"WALKING DEAD"
"hollywoodreporter","8A",3,7,1,10,5.2,"WALKING DEAD"
"comicbook","8A",4,5,1,10,5,"WALKING DEAD"
"digitalspy","8A",2,7,1,10,5,"WALKING DEAD"
"digitaltrends","8A",10,7,1,2,5,"WALKING DEAD"
"gizmodo","8A",10,8,1,1,5,"WALKING DEAD"
"ibtimes","8A",8,6,1,5,5,"WALKING DEAD"
"inquisitr","8A",5,4,1,10,5,"WALKING DEAD"
"moviefone","8A",9,4,1,6,5,"WALKING DEAD"
"screencrush","8A",9,2,1,8,5,"WALKING DEAD"
"usatoday","8A",2,8,1,9,5,"WALKING DEAD"
"usweekly","8A",3,7,1,9,5,"WALKING DEAD"
"vanityfair","8A",7,5,1,7,5,"WALKING DEAD"
"variety","8A",5,4,1,10,5,"WALKING DEAD"
"washingtonpost","8A",3,8,1,8,5,"WALKING DEAD"
"cleveland","8A",5,5,1,8,4.8,"WALKING DEAD"
"engadget","8A",7,5,1,6,4.8,"WALKING DEAD"
"fandom","8A",10,7,1,1,4.8,"WALKING DEAD"
"gamespot","8A",9,7,1,2,4.8,"WALKING DEAD"
"hollywoodlife","8A",4,5,1,9,4.8,"WALKING DEAD"
"ew","8B",5,7,10,10,8,"WALKING DEAD"
"rollingstone","8B",5,7,10,10,8,"WALKING DEAD"
"vanityfair","8B",7,5,9,7,7,"WALKING DEAD"
"mashable","8B",2,8,10,7,6.8,"WALKING DEAD"
"hollywoodreporter","8B",3,6,7,10,6.5,"WALKING DEAD"
"usweekly","8B",3,7,7,9,6.5,"WALKING DEAD"
"tvguide","8B",2,7,6,10,6.2,"WALKING DEAD"
"variety","8B",5,4,6,10,6.2,"WALKING DEAD"
"verge","8B",5,7,8,5,6.2,"WALKING DEAD"
"yahoo","8B",9,5,1,10,6.2,"WALKING DEAD"
"buzzfeed","8B",6,6,10,2,6,"WALKING DEAD"
"comicbook","8B",4,4,6,10,6,"WALKING DEAD"
"independent","8B",3,9,7,5,6,"WALKING DEAD"
"forbes","8B",4,7,1,10,5.5,"WALKING DEAD"
"ign","8B",3,8,1,10,5.5,"WALKING DEAD"
"tvline","8B",3,5,5,9,5.5,"WALKING DEAD"
"avclub","8B",3,7,4,7,5.2,"WALKING DEAD"
"complex","8B",7,6,1,7,5.2,"WALKING DEAD"
"digitalspy","8B",2,8,1,10,5.2,"WALKING DEAD"
"digitaltrends","8B",10,7,1,2,5,"WALKING DEAD"
"inquisitr","8B",5,4,1,10,5,"WALKING DEAD"
"nytimes","8B",7,7,1,5,5,"WALKING DEAD"
"usatoday","8B",2,8,1,9,5,"WALKING DEAD"
"washingtonpost","8B",3,8,1,8,5,"WALKING DEAD"
"cleveland","8B",5,5,1,8,4.8,"WALKING DEAD"
"ew","9A",5,6,10,10,7.8,"WALKING DEAD"
"ign","9A",3,8,10,10,7.8,"WALKING DEAD"
"vanityfair","9A",7,5,9,7,7,"WALKING DEAD"
"hollywoodreporter","9A",3,7,7,10,6.8,"WALKING DEAD"
"gizmodo","9A",10,8,7,1,6.5,"WALKING DEAD"
"engadget","9A",7,5,7,6,6.2,"WALKING DEAD"
"huffingtonpost","9A",9,7,1,8,6.2,"WALKING DEAD"
"variety","9A",5,3,7,10,6.2,"WALKING DEAD"
"yahoo","9A",9,5,1,10,6.2,"WALKING DEAD"
"tvguide","9A",2,6,6,10,6,"WALKING DEAD"
"digitalspy","9A",2,8,3,10,5.8,"WALKING DEAD"
"gamesradar","9A",9,6,6,2,5.8,"WALKING DEAD"
"wrap","9A",5,3,6,9,5.8,"WALKING DEAD"
"comicbook","9A",4,4,4,10,5.5,"WALKING DEAD"
"forbes","9A",4,7,1,10,5.5,"WALKING DEAD"
"hollywoodlife","9A",4,5,4,9,5.5,"WALKING DEAD"
"deadline","9A",2,5,5,9,5.2,"WALKING DEAD"
"screencrush","9A",9,2,2,8,5.2,"WALKING DEAD"
"digitaltrends","9A",10,7,1,2,5,"WALKING DEAD"
"inquisitr","9A",5,4,1,10,5,"WALKING DEAD"
"moviefone","9A",9,4,1,6,5,"WALKING DEAD"
"uproxx","9A",3,5,2,10,5,"WALKING DEAD"
"vulture","9A",2,5,4,9,5,"WALKING DEAD"
"washingtonpost","9A",3,8,1,8,5,"WALKING DEAD"
"cleveland","9A",5,5,1,8,4.8,"WALKING DEAD"
