"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","SEASON","PROGRAM"
"gamespot",9,7,3,8,6.8,"1","BETTER CALL SAUL"
"gizmodo",10,8,2,7,6.8,"1","BETTER CALL SAUL"
"cbr",8,6,3,8,6.2,"1","BETTER CALL SAUL"
"newsweek",9,5,2,9,6.2,"1","BETTER CALL SAUL"
"popsugar",7,7,4,3,5.2,"1","BETTER CALL SAUL"
"refinery29",3,6,2,10,5.2,"1","BETTER CALL SAUL"
"collider",7,3,8,2,5,"1","BETTER CALL SAUL"
"ajc",8,5,5,1,4.8,"1","BETTER CALL SAUL"
"aptv",10,6,2,1,4.8,"1","BETTER CALL SAUL"
"blastingnews",9,8,1,1,4.8,"1","BETTER CALL SAUL"
"fandom",10,7,1,1,4.8,"1","BETTER CALL SAUL"
"justjared",6,4,4,5,4.8,"1","BETTER CALL SAUL"
"sfgate",6,7,5,1,4.8,"1","BETTER CALL SAUL"
"thr",10,7,1,1,4.8,"1","BETTER CALL SAUL"
"usnews",9,7,2,1,4.8,"1","BETTER CALL SAUL"
"cheatsheet",9,5,3,1,4.5,"1","BETTER CALL SAUL"
"conan",9,7,1,1,4.5,"1","BETTER CALL SAUL"
"heavy",8,5,4,1,4.5,"1","BETTER CALL SAUL"
"411mania",8,3,5,1,4.2,"1","BETTER CALL SAUL"
"chron",7,7,2,1,4.2,"1","BETTER CALL SAUL"
"e!online",7,7,2,1,4.2,"1","BETTER CALL SAUL"
"hiddenremote",7,1,5,4,4.2,"1","BETTER CALL SAUL"
"inquistr",10,5,1,1,4.2,"1","BETTER CALL SAUL"
"usmagazine",6,7,3,1,4.2,"1","BETTER CALL SAUL"
"bleedingcool",6,2,6,2,4,"1","BETTER CALL SAUL"
"imdb",6,10,7,8,7.8,"2","BETTER CALL SAUL"
"mashable",7,7,6,9,7.2,"2","BETTER CALL SAUL"
"engadget",8,7,5,7,6.8,"2","BETTER CALL SAUL"
"gamespot",9,7,3,8,6.8,"2","BETTER CALL SAUL"
"gizmodo",10,8,2,7,6.8,"2","BETTER CALL SAUL"
"newyorktimes",7,5,8,7,6.8,"2","BETTER CALL SAUL"
"buzzfeed",6,8,3,9,6.5,"2","BETTER CALL SAUL"
"cbr",8,6,3,8,6.2,"2","BETTER CALL SAUL"
"newsweek",9,5,2,9,6.2,"2","BETTER CALL SAUL"
"comicbook",8,5,7,4,6,"2","BETTER CALL SAUL"
"digitalspy",7,7,7,3,6,"2","BETTER CALL SAUL"
"cnn",9,8,5,1,5.8,"2","BETTER CALL SAUL"
"tvline",6,5,9,3,5.8,"2","BETTER CALL SAUL"
"dailybeast",5,6,5,6,5.5,"2","BETTER CALL SAUL"
"gamesradar",9,6,1,6,5.5,"2","BETTER CALL SAUL"
"businessinsider",7,8,5,1,5.2,"2","BETTER CALL SAUL"
"dailymail",6,9,5,1,5.2,"2","BETTER CALL SAUL"
"fox",9,7,4,1,5.2,"2","BETTER CALL SAUL"
"popsugar",7,7,4,3,5.2,"2","BETTER CALL SAUL"
"refinery29",3,6,2,10,5.2,"2","BETTER CALL SAUL"
"screenrant",7,5,7,2,5.2,"2","BETTER CALL SAUL"
"hollywoodlife",6,5,5,4,5,"2","BETTER CALL SAUL"
"moviefone",9,5,5,1,5,"2","BETTER CALL SAUL"
"msn",7,8,4,1,5,"2","BETTER CALL SAUL"
"rottentomatoes",6,7,6,1,5,"2","BETTER CALL SAUL"
"forbes",7,8,6,10,7.8,"3","BETTER CALL SAUL"
"imdb",6,10,7,8,7.8,"3","BETTER CALL SAUL"
"gizmodo",10,8,2,7,6.8,"3","BETTER CALL SAUL"
"independent",8,8,4,7,6.8,"3","BETTER CALL SAUL"
"verge",8,6,5,7,6.5,"3","BETTER CALL SAUL"
"wallstreetjournal",6,5,5,10,6.5,"3","BETTER CALL SAUL"
"cbr",8,6,3,8,6.2,"3","BETTER CALL SAUL"
"newsweek",9,5,2,9,6.2,"3","BETTER CALL SAUL"
"usweekly",7,5,5,7,6,"3","BETTER CALL SAUL"
"dailybeast",5,6,5,6,5.5,"3","BETTER CALL SAUL"
"gamesradar",9,6,1,6,5.5,"3","BETTER CALL SAUL"
"dailymail",6,9,5,1,5.2,"3","BETTER CALL SAUL"
"eonline",9,7,4,1,5.2,"3","BETTER CALL SAUL"
"popsugar",7,7,4,3,5.2,"3","BETTER CALL SAUL"
"refinery29",3,6,2,10,5.2,"3","BETTER CALL SAUL"
"bostonglobe",7,3,5,5,5,"3","BETTER CALL SAUL"
"hollywoodlife",6,5,5,4,5,"3","BETTER CALL SAUL"
"msn",7,8,4,1,5,"3","BETTER CALL SAUL"
"parade",7,6,6,1,5,"3","BETTER CALL SAUL"
"vogue",3,4,3,10,5,"3","BETTER CALL SAUL"
"wsj",6,7,6,1,5,"3","BETTER CALL SAUL"
"ajc",8,5,5,1,4.8,"3","BETTER CALL SAUL"
"aptv",10,6,2,1,4.8,"3","BETTER CALL SAUL"
"blastingnews",9,8,1,1,4.8,"3","BETTER CALL SAUL"
"digitaltrends",10,7,1,1,4.8,"3","BETTER CALL SAUL"
"forbes",7,8,6,10,7.8,"4","BETTER CALL SAUL"
"gizmodo",10,8,2,7,6.8,"4","BETTER CALL SAUL"
"independent",8,8,4,7,6.8,"4","BETTER CALL SAUL"
"newyorktimes",7,5,8,7,6.8,"4","BETTER CALL SAUL"
"buzzfeed",6,8,3,9,6.5,"4","BETTER CALL SAUL"
"verge",8,6,5,7,6.5,"4","BETTER CALL SAUL"
"wallstreetjournal",6,5,5,10,6.5,"4","BETTER CALL SAUL"
"cbr",8,6,3,8,6.2,"4","BETTER CALL SAUL"
"comicbook",8,5,7,4,6,"4","BETTER CALL SAUL"
"losangelestimes",5,5,7,7,6,"4","BETTER CALL SAUL"
"usweekly",7,5,5,7,6,"4","BETTER CALL SAUL"
"cnn",9,8,5,1,5.8,"4","BETTER CALL SAUL"
"vulture",6,4,8,4,5.5,"4","BETTER CALL SAUL"
"businessinsider",7,8,5,1,5.2,"4","BETTER CALL SAUL"
"cleveland",9,4,7,1,5.2,"4","BETTER CALL SAUL"
"eonline",9,7,4,1,5.2,"4","BETTER CALL SAUL"
"ibtimes",8,5,6,2,5.2,"4","BETTER CALL SAUL"
"newyorkdailynews",9,2,5,5,5.2,"4","BETTER CALL SAUL"
"popsugar",7,7,4,3,5.2,"4","BETTER CALL SAUL"
"refinery29",3,6,2,10,5.2,"4","BETTER CALL SAUL"
"hollywoodlife",6,5,5,4,5,"4","BETTER CALL SAUL"
"ajc",8,5,5,1,4.8,"4","BETTER CALL SAUL"
"digitaltrends",10,7,1,1,4.8,"4","BETTER CALL SAUL"
"examiner",9,5,4,1,4.8,"4","BETTER CALL SAUL"
"fandom",10,7,1,1,4.8,"4","BETTER CALL SAUL"
"forbes",7,8,6,10,7.8,"1","DIETLAND"
"mashable",7,7,6,9,7.2,"1","DIETLAND"
"vanityfair",9,5,6,8,7,"1","DIETLAND"
"engadget",8,7,5,7,6.8,"1","DIETLAND"
"gamespot",9,7,3,8,6.8,"1","DIETLAND"
"gizmodo",10,8,2,7,6.8,"1","DIETLAND"
"newyorktimes",7,5,8,7,6.8,"1","DIETLAND"
"buzzfeed",6,8,3,9,6.5,"1","DIETLAND"
"verge",8,6,5,7,6.5,"1","DIETLAND"
"wallstreetjournal",6,5,5,10,6.5,"1","DIETLAND"
"cbr",8,6,3,8,6.2,"1","DIETLAND"
"comicbook",8,5,7,4,6,"1","DIETLAND"
"losangelestimes",5,5,7,7,6,"1","DIETLAND"
"uproxx",8,5,9,2,6,"1","DIETLAND"
"usweekly",7,5,5,7,6,"1","DIETLAND"
"gamesradar",9,6,1,6,5.5,"1","DIETLAND"
"businessinsider",7,8,5,1,5.2,"1","DIETLAND"
"fox",9,7,4,1,5.2,"1","DIETLAND"
"newyorkdailynews",9,2,5,5,5.2,"1","DIETLAND"
"rottentomatoes",6,7,6,1,5,"1","DIETLAND"
"wsj",6,7,6,1,5,"1","DIETLAND"
"aptv",10,6,2,1,4.8,"1","DIETLAND"
"blastingnews",9,8,1,1,4.8,"1","DIETLAND"
"digitaltrends",10,7,1,1,4.8,"1","DIETLAND"
"examiner",9,5,4,1,4.8,"1","DIETLAND"
"gamespot",9,7,3,8,6.8,"1","FEAR THE WALKING DEAD"
"gizmodo",10,8,2,7,6.8,"1","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"1","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"1","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"1","FEAR THE WALKING DEAD"
"cbr",8,6,3,8,6.2,"1","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"1","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"1","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"1","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"1","FEAR THE WALKING DEAD"
"popsugar",7,7,4,3,5.2,"1","FEAR THE WALKING DEAD"
"refinery29",3,6,2,10,5.2,"1","FEAR THE WALKING DEAD"
"screenrant",7,5,7,2,5.2,"1","FEAR THE WALKING DEAD"
"bostonglobe",7,3,5,5,5,"1","FEAR THE WALKING DEAD"
"hollywoodlife",6,5,5,4,5,"1","FEAR THE WALKING DEAD"
"parade",7,6,6,1,5,"1","FEAR THE WALKING DEAD"
"rottentomatoes",6,7,6,1,5,"1","FEAR THE WALKING DEAD"
"vogue",3,4,3,10,5,"1","FEAR THE WALKING DEAD"
"blastingnews",9,8,1,1,4.8,"1","FEAR THE WALKING DEAD"
"digitaltrends",10,7,1,1,4.8,"1","FEAR THE WALKING DEAD"
"fandom",10,7,1,1,4.8,"1","FEAR THE WALKING DEAD"
"goodmorningamerica",6,4,1,8,4.8,"1","FEAR THE WALKING DEAD"
"huffingtonpostlive",9,8,1,1,4.8,"1","FEAR THE WALKING DEAD"
"justjared",6,4,4,5,4.8,"1","FEAR THE WALKING DEAD"
"metro",8,5,5,1,4.8,"1","FEAR THE WALKING DEAD"
"imdb",6,10,7,8,7.8,"2A","FEAR THE WALKING DEAD"
"vanityfair",9,5,6,8,7,"2A","FEAR THE WALKING DEAD"
"engadget",8,7,5,7,6.8,"2A","FEAR THE WALKING DEAD"
"gamespot",9,7,3,8,6.8,"2A","FEAR THE WALKING DEAD"
"gizmodo",10,8,2,7,6.8,"2A","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"2A","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"2A","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"2A","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"2A","FEAR THE WALKING DEAD"
"cbr",8,6,3,8,6.2,"2A","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"2A","FEAR THE WALKING DEAD"
"indiewire",6,4,8,6,6,"2A","FEAR THE WALKING DEAD"
"losangelestimes",5,5,7,7,6,"2A","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"2A","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"2A","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"2A","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"2A","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"2A","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"2A","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"2A","FEAR THE WALKING DEAD"
"fox",9,7,4,1,5.2,"2A","FEAR THE WALKING DEAD"
"newyorkdailynews",9,2,5,5,5.2,"2A","FEAR THE WALKING DEAD"
"popsugar",7,7,4,3,5.2,"2A","FEAR THE WALKING DEAD"
"refinery29",3,6,2,10,5.2,"2A","FEAR THE WALKING DEAD"
"screenrant",7,5,7,2,5.2,"2A","FEAR THE WALKING DEAD"
"vanityfair",9,5,6,8,7,"2B","FEAR THE WALKING DEAD"
"gamespot",9,7,3,8,6.8,"2B","FEAR THE WALKING DEAD"
"gizmodo",10,8,2,7,6.8,"2B","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"2B","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"2B","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"2B","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"2B","FEAR THE WALKING DEAD"
"cbr",8,6,3,8,6.2,"2B","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"2B","FEAR THE WALKING DEAD"
"digitalspy",7,7,7,3,6,"2B","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"2B","FEAR THE WALKING DEAD"
"losangelestimes",5,5,7,7,6,"2B","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"2B","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"2B","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"2B","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"2B","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"2B","FEAR THE WALKING DEAD"
"cleveland",9,4,7,1,5.2,"2B","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"2B","FEAR THE WALKING DEAD"
"fox",9,7,4,1,5.2,"2B","FEAR THE WALKING DEAD"
"latimes",6,6,8,1,5.2,"2B","FEAR THE WALKING DEAD"
"newyorkdailynews",9,2,5,5,5.2,"2B","FEAR THE WALKING DEAD"
"popsugar",7,7,4,3,5.2,"2B","FEAR THE WALKING DEAD"
"refinery29",3,6,2,10,5.2,"2B","FEAR THE WALKING DEAD"
"screenrant",7,5,7,2,5.2,"2B","FEAR THE WALKING DEAD"
"imdb",6,10,7,8,7.8,"3A","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"3A","FEAR THE WALKING DEAD"
"gamespot",9,7,3,8,6.8,"3A","FEAR THE WALKING DEAD"
"gizmodo",10,8,2,7,6.8,"3A","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"3A","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"3A","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"3A","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"3A","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"3A","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"3A","FEAR THE WALKING DEAD"
"wrap",8,4,8,5,6.2,"3A","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"3A","FEAR THE WALKING DEAD"
"losangelestimes",5,5,7,7,6,"3A","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"3A","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"3A","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"3A","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"3A","FEAR THE WALKING DEAD"
"nytimes",7,7,7,1,5.5,"3A","FEAR THE WALKING DEAD"
"vulture",6,4,8,4,5.5,"3A","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"3A","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"3A","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"3A","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"3A","FEAR THE WALKING DEAD"
"fox",9,7,4,1,5.2,"3A","FEAR THE WALKING DEAD"
"latimes",6,6,8,1,5.2,"3A","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"3B","FEAR THE WALKING DEAD"
"variety",8,4,10,7,7.2,"3B","FEAR THE WALKING DEAD"
"vanityfair",9,5,6,8,7,"3B","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"3B","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"3B","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"3B","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"3B","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"3B","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"3B","FEAR THE WALKING DEAD"
"wrap",8,4,8,5,6.2,"3B","FEAR THE WALKING DEAD"
"avclub",6,6,8,4,6,"3B","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"3B","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"3B","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"3B","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"3B","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"3B","FEAR THE WALKING DEAD"
"nytimes",7,7,7,1,5.5,"3B","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"3B","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"3B","FEAR THE WALKING DEAD"
"cleveland",9,4,7,1,5.2,"3B","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"3B","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"3B","FEAR THE WALKING DEAD"
"fox",9,7,4,1,5.2,"3B","FEAR THE WALKING DEAD"
"newyorkdailynews",9,2,5,5,5.2,"3B","FEAR THE WALKING DEAD"
"popsugar",7,7,4,3,5.2,"3B","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"4A","FEAR THE WALKING DEAD"
"engadget",8,7,5,7,6.8,"4A","FEAR THE WALKING DEAD"
"newyorktimes",7,5,8,7,6.8,"4A","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"4A","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"4A","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"4A","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"4A","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"4A","FEAR THE WALKING DEAD"
"indiewire",6,4,8,6,6,"4A","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"4A","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"4A","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"4A","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"4A","FEAR THE WALKING DEAD"
"nytimes",7,7,7,1,5.5,"4A","FEAR THE WALKING DEAD"
"vulture",6,4,8,4,5.5,"4A","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"4A","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"4A","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"4A","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"4A","FEAR THE WALKING DEAD"
"latimes",6,6,8,1,5.2,"4A","FEAR THE WALKING DEAD"
"refinery29",3,6,2,10,5.2,"4A","FEAR THE WALKING DEAD"
"bostonglobe",7,3,5,5,5,"4A","FEAR THE WALKING DEAD"
"parade",7,6,6,1,5,"4A","FEAR THE WALKING DEAD"
"time",7,6,6,1,5,"4A","FEAR THE WALKING DEAD"
"vogue",3,4,3,10,5,"4A","FEAR THE WALKING DEAD"
"yahoo",8,9,10,5,8,"4B","FEAR THE WALKING DEAD"
"mashable",7,7,6,9,7.2,"4B","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"4B","FEAR THE WALKING DEAD"
"engadget",8,7,5,7,6.8,"4B","FEAR THE WALKING DEAD"
"gamespot",9,7,3,8,6.8,"4B","FEAR THE WALKING DEAD"
"gizmodo",10,8,2,7,6.8,"4B","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"4B","FEAR THE WALKING DEAD"
"newyorktimes",7,5,8,7,6.8,"4B","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"4B","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"4B","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"4B","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"4B","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"4B","FEAR THE WALKING DEAD"
"avclub",6,6,8,4,6,"4B","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"4B","FEAR THE WALKING DEAD"
"losangelestimes",5,5,7,7,6,"4B","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"4B","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"4B","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"4B","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"4B","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"4B","FEAR THE WALKING DEAD"
"usatoday",6,7,8,1,5.5,"4B","FEAR THE WALKING DEAD"
"vulture",6,4,8,4,5.5,"4B","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"4B","FEAR THE WALKING DEAD"
"cleveland",9,4,7,1,5.2,"4B","FEAR THE WALKING DEAD"
"ew",9,6,10,9,8.5,"1","GEEKING OUT"
"ign",7,8,9,9,8.2,"1","GEEKING OUT"
"forbes",7,8,6,10,7.8,"1","GEEKING OUT"
"imdb",6,10,7,8,7.8,"1","GEEKING OUT"
"hollywoodreporter",8,6,9,7,7.5,"1","GEEKING OUT"
"tvguide",8,6,10,6,7.5,"1","GEEKING OUT"
"mashable",7,7,6,9,7.2,"1","GEEKING OUT"
"rollingstone",7,6,7,9,7.2,"1","GEEKING OUT"
"vanityfair",9,5,6,8,7,"1","GEEKING OUT"
"engadget",8,7,5,7,6.8,"1","GEEKING OUT"
"gamespot",9,7,3,8,6.8,"1","GEEKING OUT"
